largura,altura,idArmazem_PK,numMaxContainers,comprimento,lotacaoAtual,idUnidade_FK
66.15,88.17,1,200,87.34,1,12
48.71,83.41,2,147,36.92,2,84
7.83,59.51,3,173,25.77,3,79
99.55,97.2,4,115,69.31,4,35
85.53,97.64,5,183,83.15,5,46
90.77,60.29,6,192,24.43,6,46
32.05,90.84,7,71,42.46,7,85
19.83,83.59,8,148,39.9,8,1
62.33,73.59,9,77,31.51,9,67
28.01,49.09,10,62,32.9,10,27
39.98,42.04,11,155,77.21,11,21
29.14,98.57,12,62,83.98,12,73
60.89,18.82,13,148,49.01,13,6
10.01,82.26,14,144,57.25,14,82
78.52,70.49,15,71,67.99,15,67
34.7,21.72,16,90,87.46,16,85
54.9,10.7,17,167,8.56,17,90
45.03,27.17,18,150,32.95,18,40
58.98,76.83,19,191,62.05,19,75
11.16,24.27,20,153,41.64,20,27
1.88,52.15,21,134,6.31,21,19
66.07,42.76,22,91,27.81,22,15
76.69,62.31,23,196,19.46,23,60
17.92,25.57,24,111,91.46,24,49
85.54,64.64,25,167,35.31,25,42
24.23,95.78,26,120,11.91,26,10
34.64,64.8,27,143,16.72,27,50
4.22,24.76,28,112,38.6,28,89
84.01,28.41,29,115,1.12,29,4
44.44,14.9,30,54,38.06,30,86
37.4,33.72,31,67,87.35,31,95
56.77,68.79,32,113,70.26,32,11
54.98,22.9,33,120,55.45,33,71
16.68,81.43,34,156,58.55,34,64
28.05,97.42,35,177,23.88,35,43
46.29,34.82,36,140,18.73,36,50
27.2,98.65,37,58,76.62,37,4
42.56,86.97,38,87,75.9,38,98
30.18,68.02,39,154,69.61,39,4
54.98,12.29,40,98,58.89,40,48
57.39,75.92,41,75,13.8,41,68
38.55,93.41,42,171,13.94,42,97
37.15,88.2,43,132,39.59,43,39
49.13,80.21,44,184,61.77,44,71
8.19,34.91,45,137,32.81,45,28
32.37,79.13,46,156,4.17,46,91
77.97,43.48,47,162,99.94,47,31
92.04,87.54,48,139,83.33,48,92
98.24,26.82,49,194,76.95,49,71
91.6,94.42,50,79,44.76,50,51
