idProduto_PK,comprimento,descricao,peso,largura,altura,idPedido_FK
1,6,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",964,4,2,98
2,9,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",304,7,8,122
3,6,"Pellentesque at nulla.",674,8,2,150
4,5,"Curabitur gravida nisi at nibh.",859,4,5,171
5,4,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",396,10,8,22
6,4,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",107,9,7,89
7,1,"Maecenas pulvinar lobortis est.",114,6,9,160
8,7,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",136,8,7,122
9,8,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",805,10,6,8
10,8,"Ut at dolor quis odio consequat varius.",687,2,1,42
11,1,"Integer ac neque.",892,6,10,60
12,2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",695,7,9,4
13,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",985,3,9,115
14,7,"Fusce consequat. Nulla nisl.",16,6,5,153
15,8,"In congue.",665,8,4,200
16,7,"In quis justo. Maecenas rhoncus aliquam lacus.",180,10,9,57
17,2,"Suspendisse accumsan tortor quis turpis.",369,6,2,63
18,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",236,10,5,182
19,1,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",722,2,2,199
20,8,"Maecenas ut massa quis augue luctus tincidunt.",333,4,4,173
21,6,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",587,5,5,114
22,7,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.",922,9,1,95
23,1,"Proin risus.",969,1,5,173
24,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",175,6,6,190
25,2,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.",528,2,2,151
26,9,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",460,3,6,131
27,7,"Vivamus vel nulla eget eros elementum pellentesque.",755,9,6,22
